feature,importance_mean,importance_std
wind_speed_2m_roll_std_28,0.11064225762841255,0.03308009784790818
day_of_year_cos,0.1060021587106621,0.0251255112535329
ADG443_NN_roll_min_28,0.08041563940487287,0.006909714438523825
CHLL_NN_TOTAL_roll_mean_7,0.05724782693682044,0.030992769086528267
coverage_percent_roll_min_28,0.05437053959438724,0.014944352631755375
air_pressure_roll_max_14,0.051317122527285444,0.008364918134391107
CHL_NN_R2_roll_max_7,0.047259428880420895,0.028239702414503975
AWND_roll_mean_14,0.04017669568738791,0.0052013763475377
IWV_roll_min_14,0.03301574223484956,0.006575298155679737
Oa05_reflectance_roll_min_14,0.032590862064096185,0.00904078329539563
CHL_OC4ME_roll_std_28,0.031654305394000645,0.007161385219617769
CI_index_roll_max_7,0.031325870529558396,0.01462185320600039
CHL_NN_R3_roll_max_28,0.030837806973150174,0.01282269732659623
day_of_year_sin,0.029259406567645384,0.008896784289504314
water_level_roll_std_28,0.02462387691669594,0.006583702799357812
coverage_percent_roll_max_28,0.024622842188453297,0.005946234489010556
CHLL_NN_TOTAL_roll_min_7,0.022791647070331322,0.013357009872538076
air_pressure_roll_min_7,0.022652614156425256,0.0052687604505966094
air_pressure_lag_1,0.021504354486622024,0.005926508646152799
CHLL_NN_TOTAL_roll_min_14,0.020390525099283963,0.03286322797080295
KD490_M07_roll_min_7,0.019773117438848953,0.004858364757813163
air_pressure,0.019352035530191623,0.0036687017568383415
PAR_roll_mean_14,0.01892933276917308,0.0035680965071578667
IWV_roll_max_14,0.016989660666509466,0.003549058797172874
T865_roll_std_28,0.015488546956642767,0.0047493103491149545
Watt_per_m2_roll_max_28,0.014663669714760453,0.009436541117717601
wind_speed_2m_roll_max_7,0.014181720062193736,0.008745674549019339
Watt_per_m2_roll_mean_7,0.013761493552988923,0.011421494796035799
IWV_roll_std_14,0.013469223125478092,0.002807532576371047
CI_index_roll_max_28,0.013382580194657389,0.003947812237976465
AWND_roll_mean_28,0.012998479451594224,0.002823618678079103
Watt_per_m2_roll_max_7,0.012763768500519034,0.0022825412932405737
air_pressure_roll_std_28,0.012609166936862337,0.013753097924808506
temp_max_roll_min_14,0.012603051261303833,0.005038144349459917
wind_avg_roll_min_28,0.012494842885263147,0.0032004379895070856
AWND_lag_14,0.011413071486380755,0.0027188651104772736
water_temperature_roll_std_7,0.011308257199723393,0.005219784973581786
precipitation_roll_mean_28,0.010690022693168367,0.012501771250495425
air_temperature_roll_std_28,0.010447227666719173,0.0035456285353038124
wind_speed_2m_roll_max_14,0.010026548656312518,0.006650393538077767
water_temperature_lag_14,0.00993556524120942,0.0023596072264251426
Watt_per_m2_roll_max_14,0.009742344009769255,0.011329860362063765
Watt_per_m2_lag_7,0.009504762658043652,0.013392464246452131
air_pressure_lag_7,0.009408273500671083,0.0038212869445985133
CHL_OC4ME_lag_1,0.00914341820325264,0.007136617478924777
wind_avg_roll_min_7,0.008734611717362829,0.003693433067571081
Oa07_reflectance_roll_min_7,0.008616236666693223,0.002578008808469046
coverage_percent_roll_std_7,0.00838455514766263,0.008121736138582173
CHL_NN_R3_roll_max_7,0.008328075351617148,0.006278932969118291
T865_roll_min_7,0.007725012632480333,0.0015724833511858763
total_pixels_roll_max_14,0.0077181950753623775,0.0044043146007912
valid_pixels_roll_max_7,0.007496153863298982,0.0026911614347592534
AWND_roll_std_28,0.007037073889316936,0.008404881723953503
Oa09_reflectance_roll_max_28,0.0070242964325967884,0.001974743079023297
air_pressure_roll_std_14,0.006842873389281134,0.006563774994466682
